TF,CellType,MeanExpression,DetectionRate,Significance
JAK2,Monocyte,0.9636214238048951,0.9564220183486238,2279.6749469111032
JAK2,NK_cell,-0.7639663159973248,0.15789473684210525,36.41936045892383
JAK2,B_cell,-0.6342807300652095,0.25806451612903225,42.803906981885746
JAK2,HSC_-G-CSF,0.8070169462819471,1.0,0.0
JAK2,Pre-B_cell_CD34-,0.5200434245783944,1.0,0.0
SPON2,T_cells,-0.013651189690824359,0.09048723897911833,0.0
SPON2,Monocyte,-0.24342791320310536,0.022935779816513763,47.044873950493496
SPON2,NK_cell,2.360312455173519,0.6140350877192983,500.2748142338975
SPON2,B_cell,-0.22687597731345122,0.021505376344086023,5.283090567285092
SPON2,HSC_-G-CSF,-0.28402222828805596,0.0,0.0
SPON2,Pre-B_cell_CD34-,-0.28402222828805596,0.0,0.0
AC007381.1,T_cells,-0.10708470513823244,0.002320185614849188,8.601852310916465
AC007381.1,Monocyte,-0.0969852433938819,0.006880733944954129,7.188701108604012
AC007381.1,NK_cell,-0.12753991907477036,0.0,0.0
AC007381.1,B_cell,0.698681236657594,0.11827956989247312,52.406458981740045
AC007381.1,HSC_-G-CSF,-0.12753991907477033,0.0,0.0
AC007381.1,Pre-B_cell_CD34-,10.328858083521963,1.0,467.07177230890096
GZMA,T_cells,0.061609970276248205,0.16937354988399073,0.0
GZMA,Monocyte,-0.3105751523051121,0.045871559633027525,78.86154131431637
GZMA,NK_cell,2.4724965436626296,0.8771929824561403,576.4761899697467
GZMA,B_cell,-0.3374125836630599,0.021505376344086023,11.758935935599242
GZMA,HSC_-G-CSF,0.22732910988592808,0.5,0.0
GZMA,Pre-B_cell_CD34-,-0.38357390397042385,0.0,0.0
FCRL1,T_cells,-0.2850241561467256,0.004640371229698376,64.23575788761737
FCRL1,Monocyte,-0.26072780520150285,0.013761467889908258,54.338113153355444
FCRL1,NK_cell,-0.29364236445490566,0.0,5.2215893059464396
FCRL1,B_cell,2.739016784551593,0.8602150537634409,3076.8602598699267
FCRL1,HSC_-G-CSF,-0.29364236445490566,0.0,0.0
FCRL1,Pre-B_cell_CD34-,-0.29364236445490566,0.0,0.0
